#OTU ID	F.1.A_F	F.2.A_F	F.3.A_F	F.4.A_F	F.5.A_F	F.6.A_F	F.7.A_F	F.8.A_F	F.9.A_F	F.10.A_F	F.11.A_F	F.12.A_F	F.13.A_F	F.14.A_F	F.15.A_F	F.1.M_F	F.2.M_F	F.3.M_F	F.4.M_F	F.5.M_F	F.6.M_F	F.7.M_F	F.8.M_F	F.9.M_F	F.11.M_F	F.12.M_F	F.13.M_F	F.14.M_F	F.15.M_F	F.1.O_F	F.2.O_F	F.3.O_F	F.4.O_F	F.5.O_F	F.6.O_F	F.7.O_F	F.8.O_F	F.9.O_F	F.10.O_F	F.11.O_F	F.12.O_F	F.13.O_F	F.14.O_F	F.15.O_F	S.1.A_F	S.2.A_F	S.3.A_F	S.4.A_F	S.5.A_F	S.6.A_F	S.7.A_F	S.8.A_F	S.9.A_F	S.10.A_F	S.11.A_F	S.12.A_F	S.13.A_F	S.14.A_F	S.15.A_F	S.1.M_F	S.2.M_F	S.3.M_F	S.4.M_F	S.5.M_F	S.6.M_F	S.7.M_F	S.8.M_F	S.9.M_F	S.10.M_F	S.11.M_F	S.12.M_F	S.13.M_F	S.14.M_F	S.15.M_F	S.1.O_F	S.2.O_F	S.3.O_F	S.4.O_F	S.5.O_F	S.6.O_F	S.7.O_F	S.8.O_F	S.9.O_F	S.10.O_F	S.11.O_F	S.12.O_F	S.13.O_F	S.14.O_F	S.15.O_F	taxonomy
6d38b549745719296f6d59dc8199574e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	XX;XX;RA;Tylenchidae;Miculenchus;Miculenchus_salvus;6d38b549745719296f6d59dc8199574e
adf82e00a89624a7964330fd35e50485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	XX;XX;BF;Microlaimidae;Prodesmodora;Prodesmodora_sp._1338;adf82e00a89624a7964330fd35e50485
6d27198558494c6af458744579ff1273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	XX;XX;BF;Microlaimidae;Prodesmodora;Prodesmodora_sp._1338;6d27198558494c6af458744579ff1273
fd01f8731fb13711bda9c307b19ec3d2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	XX;XX;BF;Comesomatidae;Sabatieria;Sabatieria_pulchra;fd01f8731fb13711bda9c307b19ec3d2
3a691be98a41c98992ac3b4a630f4b81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	XX;XX;FF;Aphelenchoididae;Aphelenchoides;Aphelenchoides_sp._US01;3a691be98a41c98992ac3b4a630f4b81
2b0116564d363556df1f6d21b56a8915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	XX;XX;FF;Diphtherophoridae;Tylolaimophorus;Tylolaimophorus_minor;2b0116564d363556df1f6d21b56a8915
fa81d9646602b0695dd63e0e8e35b9ce	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	XX;XX;OM;Dorylaimidae;Mesodorylaimus;Mesodorylaimus_cf._nigritulus_AV.2005;fa81d9646602b0695dd63e0e8e35b9ce
15e3224a77fb8bdab6f16638bc012bce	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	XX;XX;OM;Qudsianematidae;Thonus;Thonus_circulifer;15e3224a77fb8bdab6f16638bc012bce
471cc86b2e13f421475a76409167aad0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	XX;XX;PP;Merliniidae;Amplimerlinius;Amplimerlinius_icarus;471cc86b2e13f421475a76409167aad0
872ad3b39a9b90737c2b96885f6baa66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	XX;XX;PP;Merliniidae;Geocenamus;Geocenamus_quadrifer;872ad3b39a9b90737c2b96885f6baa66
